Date,Price,Gold,Heating Oil,Natural Gas,EFFR,Treasury Bill,USDX,MSCI,CRBI,XOI,TCU,CFNAI,INDPRO,Kilian,World Production,US Field Production,Unemployment,M2,Rigs,Refinery
2010-01-04,81.51,1120.4,2.1905,6.09,0.12,0.055,77.83,31.98,288.97,"1,100.51",70.68174517,0.118709678,89.30250325,65.71809787,72.73529733,166364.5166,9.799999987,8462.870982,1248,79.75925008
2010-01-05,81.77,1119.05,2.1941,6.19,0.12,0.06,77.85,32.099998,289.02,"1,106.98",70.69389356,0.101612904,89.311871,65.18437018,72.74005953,165976.3555,9.799999983,8464.461309,1248,80.04068313
2010-01-06,83.18,1138.9,2.2032,6.47,0.12,0.045,77.655,31.23,293.4,"1,113.43",70.70604195,0.084516129,89.32123875,64.65064249,72.74602509,165588.1943,9.799999979,8466.051635,1249,80.39249113
2010-01-07,82.66,1132.3,2.1836,7.51,0.1,0.045,78.105,33.380001,290.16,"1,112.53",70.71819034,0.067419355,89.3306065,64.11691481,72.75319401,165200.0331,9.799999976,8467.641961,1250,80.8146741
2010-01-08,82.75,1136.6,2.2003,6.56,0.11,0.04,77.655,34.5,290.39,"1,116.19",70.73033873,0.050322581,89.33997424,63.58318714,72.7615663,164811.872,9.799999973,8469.232287,1251,81.30723203
2010-01-11,82.52,1153.0,2.1801,5.77,0.11,0.025,77.16,34.209999,289.02,"1,122.03",70.7667839,-0.000967741,89.36807748,61.98200416,72.79390331,163647.3883,9.799999967,8474.003262,1254,81.67122645
2010-01-12,80.79,1127.7,2.1318,5.57,0.11,0.04,77.12,33.23,284.16,"1,099.16",70.77893229,-0.018064515,89.37744523,61.44827652,72.80708904,163259.2271,9.799999965,8475.593586,1255,81.42133148
2010-01-13,79.65,1138.8,2.0946,5.61,0.11,0.05,76.99,33.349998,284.78,"1,100.91",70.79108068,-0.035161289,89.38681297,60.91454888,72.82147813,162871.0659,9.799999964,8477.18391,1257,80.98582327
2010-01-14,79.39,1143.25,2.0829,5.77,0.11,0.045,76.885,33.099998,284.07,"1,101.46",70.80322906,-0.052258063,89.39618071,60.38082125,72.83707058,162482.9046,9.799999963,8478.774234,1258,80.36470184
2010-01-15,78.0,1130.9,2.046,5.66,0.12,0.055,77.48,32.139999,281.05,"1,091.80",70.81537745,-0.069354837,89.40554846,59.84709362,72.85386639,162094.7434,9.799999962,8480.364557,1260,79.55796718
2010-01-19,79.02,1138.1,2.0454,5.51,0.13,0.05,77.65,32.5,282.89,"1,104.27",70.863971,-0.137741934,89.44301942,57.71218319,72.93308324,160542.0982,9.799999963,8486.725847,1268,77.90882454
