Date,Treasury Bill
1/4/2010,0.055
1/5/2010,0.06
1/6/2010,0.045
1/7/2010,0.045
1/8/2010,0.04
1/10/2010,null
1/11/2010,0.025
1/12/2010,0.04
1/13/2010,0.05
1/14/2010,0.045
1/15/2010,0.055
1/17/2010,null
1/19/2010,0.05
1/20/2010,0.05
1/21/2010,0.04
1/22/2010,0.045
1/24/2010,null
1/25/2010,0.045
1/26/2010,0.065
1/27/2010,0.07
1/28/2010,0.07
1/29/2010,0.07
1/31/2010,null
2/1/2010,0.085
2/2/2010,0.09
2/3/2010,0.09
2/4/2010,0.085
2/5/2010,0.085
2/7/2010,null
2/8/2010,0.09
2/9/2010,0.1
2/10/2010,0.1
2/11/2010,0.095
2/12/2010,0.09
2/14/2010,null
2/16/2010,0.085
2/17/2010,0.09
2/18/2010,0.085
2/19/2010,0.095
2/21/2010,null
2/22/2010,0.085
2/23/2010,0.115
2/24/2010,0.11
2/25/2010,0.115
2/26/2010,0.115
2/28/2010,null
3/1/2010,0.12
3/2/2010,0.125
3/3/2010,0.135
3/4/2010,0.135
3/5/2010,0.145
3/7/2010,null
3/8/2010,0.145
3/9/2010,0.15
3/10/2010,0.145
3/11/2010,0.145
3/12/2010,0.14
3/14/2010,null
3/15/2010,0.145
3/16/2010,0.155
3/17/2010,0.15
3/18/2010,0.145
3/19/2010,0.145
3/21/2010,null
3/22/2010,0.14
3/23/2010,0.13
3/24/2010,0.135
3/25/2010,0.13
3/26/2010,0.13
3/28/2010,null
3/29/2010,0.125
3/30/2010,0.15
3/31/2010,0.15
4/1/2010,0.15
4/4/2010,null
4/5/2010,0.16
4/6/2010,0.165
4/7/2010,0.16
4/8/2010,0.155
4/9/2010,0.15
4/11/2010,null
4/12/2010,0.135
4/13/2010,0.15
4/14/2010,0.155
4/15/2010,0.15
4/16/2010,0.15
4/18/2010,null
4/19/2010,0.15
4/20/2010,0.145
4/21/2010,0.145
4/22/2010,0.15
4/23/2010,0.155
4/25/2010,null
4/26/2010,0.15
4/27/2010,0.145
4/28/2010,0.155
4/29/2010,0.16
4/30/2010,0.155
5/2/2010,null
5/3/2010,0.16
5/4/2010,0.155
5/5/2010,0.145
5/6/2010,0.1
5/7/2010,0.12
5/9/2010,null
5/10/2010,0.145
5/11/2010,0.15
5/12/2010,0.15
5/13/2010,0.155
5/14/2010,0.145
5/16/2010,null
5/17/2010,0.15
5/18/2010,0.165
5/19/2010,0.165
5/20/2010,0.155
5/21/2010,0.15
5/23/2010,null
5/24/2010,0.15
5/25/2010,0.16
5/26/2010,0.16
5/27/2010,0.16
5/28/2010,0.15
5/30/2010,null
6/1/2010,0.145
6/2/2010,0.145
6/3/2010,0.13
6/4/2010,0.12
6/6/2010,null
6/7/2010,0.105
6/8/2010,0.11
6/9/2010,0.095
6/10/2010,0.085
6/11/2010,0.07
6/13/2010,null
6/14/2010,0.055
6/15/2010,0.08
6/16/2010,0.09
6/17/2010,0.09
6/18/2010,0.095
6/20/2010,null
6/21/2010,0.105
6/22/2010,0.125
6/23/2010,0.12
6/24/2010,0.125
6/25/2010,0.125
6/27/2010,null
6/28/2010,0.135
6/29/2010,0.16
6/30/2010,0.17
7/1/2010,0.165
7/2/2010,0.16
7/4/2010,null
7/6/2010,0.16
7/7/2010,0.155
7/8/2010,0.145
7/9/2010,0.145
7/11/2010,null
7/12/2010,0.14
7/13/2010,0.145
7/14/2010,0.145
7/15/2010,0.145
7/16/2010,0.145
7/18/2010,null
7/19/2010,0.145
7/20/2010,0.15
7/21/2010,0.15
7/22/2010,0.145
7/23/2010,0.145
7/25/2010,null
7/26/2010,0.145
7/27/2010,0.15
7/28/2010,0.145
7/29/2010,0.145
7/30/2010,0.14
8/1/2010,null
8/2/2010,0.14
8/3/2010,0.15
8/4/2010,0.145
8/5/2010,0.14
8/6/2010,0.14
8/8/2010,null
8/9/2010,0.14
8/10/2010,0.145
8/11/2010,0.145
8/12/2010,0.15
8/13/2010,0.145
8/15/2010,null
8/16/2010,0.15
8/17/2010,0.155
8/18/2010,0.15
8/19/2010,0.145
8/20/2010,0.145
8/22/2010,null
8/23/2010,0.15
8/24/2010,0.155
8/25/2010,0.15
8/26/2010,0.145
8/27/2010,0.14
