Date,XOI
12/31/2019,"1,270.55"
12/30/2019,"1,259.26"
12/27/2019,"1,263.78"
12/26/2019,"1,270.40"
12/24/2019,"1,268.12"
12/23/2019,"1,265.79"
12/20/2019,"1,255.75"
12/19/2019,"1,247.69"
12/18/2019,"1,247.91"
12/17/2019,"1,245.39"
12/16/2019,"1,243.44"
12/13/2019,"1,222.39"
12/12/2019,"1,232.89"
12/11/2019,"1,208.26"
12/10/2019,"1,212.65"
12/9/2019,"1,210.84"
12/6/2019,"1,218.08"
12/5/2019,"1,193.73"
12/4/2019,"1,201.01"
12/3/2019,"1,182.50"
12/2/2019,"1,200.44"
11/29/2019,"1,201.61"
11/27/2019,"1,214.56"
11/26/2019,"1,212.92"
11/25/2019,"1,226.13"
11/22/2019,"1,222.69"
11/21/2019,"1,230.87"
11/20/2019,"1,215.54"
11/19/2019,"1,207.87"
11/18/2019,"1,227.36"
11/15/2019,"1,241.21"
11/14/2019,"1,236.04"
11/13/2019,"1,239.69"
11/12/2019,"1,246.63"
11/11/2019,"1,254.26"
11/8/2019,"1,259.07"
11/7/2019,"1,261.83"
11/6/2019,"1,243.29"
11/5/2019,"1,278.00"
11/4/2019,"1,274.26"
11/1/2019,"1,246.17"
10/31/2019,"1,217.86"
10/30/2019,"1,225.57"
10/29/2019,"1,252.71"
10/28/2019,"1,246.97"
10/25/2019,"1,248.08"
10/24/2019,"1,233.68"
10/23/2019,"1,231.09"
10/22/2019,"1,221.52"
10/21/2019,"1,204.56"
10/18/2019,"1,185.82"
10/17/2019,"1,193.26"
10/16/2019,"1,188.97"
10/15/2019,"1,201.91"
10/14/2019,"1,197.36"
10/11/2019,"1,199.67"
10/10/2019,"1,183.68"
10/9/2019,"1,165.48"
10/8/2019,"1,151.58"
10/7/2019,"1,167.34"
10/4/2019,"1,174.83"
10/3/2019,"1,169.48"
10/2/2019,"1,155.43"
10/1/2019,"1,186.19"
9/30/2019,"1,208.76"
9/27/2019,"1,214.87"
9/26/2019,"1,215.30"
9/25/2019,"1,229.17"
9/24/2019,"1,227.63"
9/23/2019,"1,247.20"
9/20/2019,"1,244.23"
9/19/2019,"1,242.10"
9/18/2019,"1,245.86"
9/17/2019,"1,252.08"
9/16/2019,"1,274.01"
9/13/2019,"1,227.13"
9/12/2019,"1,221.41"
9/11/2019,"1,229.78"
9/10/2019,"1,227.35"
9/9/2019,"1,209.29"
9/6/2019,"1,191.27"
9/5/2019,"1,188.37"
9/4/2019,"1,176.30"
9/3/2019,"1,160.87"
8/30/2019,"1,165.72"
8/29/2019,"1,163.68"
8/28/2019,"1,144.72"
8/27/2019,"1,125.54"
8/26/2019,"1,134.10"
8/23/2019,"1,129.93"
8/22/2019,"1,169.88"
8/21/2019,"1,179.95"
8/20/2019,"1,168.31"
8/19/2019,"1,180.10"
8/16/2019,"1,155.72"
8/15/2019,"1,144.78"
8/14/2019,"1,147.90"
8/13/2019,"1,189.94"
8/12/2019,"1,173.46"
8/9/2019,"1,189.42"
8/8/2019,"1,198.66"
8/7/2019,"1,167.12"
8/6/2019,"1,175.84"
8/5/2019,"1,177.32"
8/2/2019,"1,218.04"
8/1/2019,"1,234.83"
7/31/2019,"1,258.43"
7/30/2019,"1,266.03"
7/29/2019,"1,251.85"
7/26/2019,"1,254.03"
7/25/2019,"1,255.30"
7/24/2019,"1,272.65"
7/23/2019,"1,270.18"
7/22/2019,"1,269.06"
7/19/2019,"1,266.95"
7/18/2019,"1,258.61"
7/17/2019,"1,255.99"
7/16/2019,"1,268.93"
7/15/2019,"1,279.94"
7/12/2019,"1,290.35"
7/11/2019,"1,284.48"
7/10/2019,"1,278.73"
7/9/2019,"1,262.33"
7/8/2019,"1,260.18"
7/5/2019,"1,261.12"
7/3/2019,"1,259.42"
7/2/2019,"1,256.14"
