Date,CRBI
31-Dec-19,196.64
30-Dec-19,197.75
27-Dec-19,198.08
26-Dec-19,197.54
24-Dec-19,196.31
23-Dec-19,195.17
20-Dec-19,195.76
19-Dec-19,195.83
18-Dec-19,195.66
17-Dec-19,195.98
16-Dec-19,195.9
13-Dec-19,194.39
12-Dec-19,193.44
11-Dec-19,191.93
10-Dec-19,192.63
9-Dec-19,191.57
6-Dec-19,191.57
5-Dec-19,190.37
4-Dec-19,189.66
3-Dec-19,187.73
2-Dec-19,187.23
29-Nov-19,186.71
27-Nov-19,190.6
26-Nov-19,191.39
25-Nov-19,190.82
22-Nov-19,190.58
21-Nov-19,190.95
20-Nov-19,189.08
19-Nov-19,187.16
18-Nov-19,189.29
15-Nov-19,191.19
14-Nov-19,190.22
13-Nov-19,190.45
12-Nov-19,189.9
11-Nov-19,189.48
8-Nov-19,191.42
7-Nov-19,191.11
6-Nov-19,190.6
5-Nov-19,192.26
4-Nov-19,191.19
1-Nov-19,190.31
31-Oct-19,186.73
30-Oct-19,188.22
29-Oct-19,188.28
28-Oct-19,188.17
25-Oct-19,188.24
24-Oct-19,187.53
23-Oct-19,187.09
22-Oct-19,185.19
21-Oct-19,184.37
18-Oct-19,185.42
17-Oct-19,185.18
16-Oct-19,184.58
15-Oct-19,184.33
14-Oct-19,184.58
11-Oct-19,185.66
10-Oct-19,183.06
9-Oct-19,182.51
8-Oct-19,182.77
7-Oct-19,182.53
4-Oct-19,182.91
3-Oct-19,182.81
2-Oct-19,182.32
1-Oct-19,183.51
30-Sep-19,183.35
27-Sep-19,185.19
26-Sep-19,185.72
25-Sep-19,186.14
24-Sep-19,186.71
23-Sep-19,188.25
20-Sep-19,186.83
19-Sep-19,187.27
18-Sep-19,187.12
17-Sep-19,188.33
16-Sep-19,192.93
13-Sep-19,184.08
12-Sep-19,183.71
11-Sep-19,182.94
10-Sep-19,184.2
9-Sep-19,183.53
6-Sep-19,181.73
5-Sep-19,181.43
4-Sep-19,181.78
3-Sep-19,178.08
30-Aug-19,179.27
29-Aug-19,181.07
28-Aug-19,180.14
27-Aug-19,178.55
26-Aug-19,177.71
23-Aug-19,177.37
22-Aug-19,179.16
21-Aug-19,179.77
20-Aug-19,179.74
19-Aug-19,179.61
16-Aug-19,179.19
15-Aug-19,178.79
14-Aug-19,179.42
13-Aug-19,181.98
12-Aug-19,179.38
9-Aug-19,180.89
8-Aug-19,179.02
7-Aug-19,176.46
6-Aug-19,179.23
5-Aug-19,180.21
2-Aug-19,182.15
1-Aug-19,181.56
31-Jul-19,187.56
30-Jul-19,187.36
29-Jul-19,186.77
26-Jul-19,186.07
25-Jul-19,186.82
24-Jul-19,187.16
23-Jul-19,188.01
22-Jul-19,187.49
19-Jul-19,187.49
18-Jul-19,186.29
17-Jul-19,188.35
16-Jul-19,189.03
15-Jul-19,192.17
12-Jul-19,193.47
11-Jul-19,192.75
10-Jul-19,193.25
9-Jul-19,189.6
8-Jul-19,189.57
5-Jul-19,189.63
3-Jul-19,189.29
2-Jul-19,186.52
1-Jul-19,189.96
28-Jun-19,189.83
27-Jun-19,191.32
26-Jun-19,191.2
25-Jun-19,189.63
24-Jun-19,188.69
21-Jun-19,187.11
20-Jun-19,187.21
19-Jun-19,183.85
18-Jun-19,184.54
17-Jun-19,182.77
14-Jun-19,183.14
13-Jun-19,182.73
12-Jun-19,181.48
11-Jun-19,183.17
10-Jun-19,182.32
7-Jun-19,182.65
6-Jun-19,182.06
5-Jun-19,180.45
4-Jun-19,183.74
