Date,Heating Oil
1-Jan-20,2.0293
31-Dec-19,2.0283
30-Dec-19,2.0406
27-Dec-19,2.0496
26-Dec-19,2.0521
25-Dec-19,2.0357
24-Dec-19,2.0363
23-Dec-19,2.0222
20-Dec-19,2.0218
19-Dec-19,2.0295
18-Dec-19,2.0203
17-Dec-19,2.0334
16-Dec-19,2.0045
13-Dec-19,1.9864
12-Dec-19,1.9508
11-Dec-19,1.9288
10-Dec-19,1.9655
9-Dec-19,1.9442
6-Dec-19,1.9521
5-Dec-19,1.933
4-Dec-19,1.9229
3-Dec-19,1.8799
2-Dec-19,1.886
29-Nov-19,1.8789
28-Nov-19,1.9506
27-Nov-19,1.9465
26-Nov-19,1.9606
25-Nov-19,1.9443
22-Nov-19,1.9294
21-Nov-19,1.9447
20-Nov-19,1.8921
19-Nov-19,1.8574
18-Nov-19,1.9047
15-Nov-19,1.948
14-Nov-19,1.9179
13-Nov-19,1.9125
12-Nov-19,1.8976
11-Nov-19,1.9142
8-Nov-19,1.9181
7-Nov-19,1.9203
6-Nov-19,1.9278
5-Nov-19,1.9566
4-Nov-19,1.9405
1-Nov-19,1.9331
31-Oct-19,1.878
30-Oct-19,1.9136
29-Oct-19,1.9563
28-Oct-19,1.9618
25-Oct-19,1.9796
24-Oct-19,1.9863
23-Oct-19,1.9643
22-Oct-19,1.9437
21-Oct-19,1.9406
18-Oct-19,1.9471
17-Oct-19,1.9481
16-Oct-19,1.9426
15-Oct-19,1.91
14-Oct-19,1.9151
11-Oct-19,1.9576
10-Oct-19,1.9208
9-Oct-19,1.9193
8-Oct-19,1.9101
7-Oct-19,1.9033
4-Oct-19,1.8945
3-Oct-19,1.876
2-Oct-19,1.873
1-Oct-19,1.8985
30-Sep-19,1.9056
27-Sep-19,1.9416
26-Sep-19,1.9551
25-Sep-19,1.9539
24-Sep-19,1.9676
23-Sep-19,1.997
20-Sep-19,1.9863
19-Sep-19,2.0049
18-Sep-19,1.9733
17-Sep-19,1.9896
16-Sep-19,2.0838
13-Sep-19,1.8778
12-Sep-19,1.8851
11-Sep-19,1.9032
10-Sep-19,1.9312
9-Sep-19,1.9277
6-Sep-19,1.9003
5-Sep-19,1.8885
4-Sep-19,1.8802
3-Sep-19,1.8033
2-Sep-19,1.8114
1-Sep-19,1.8308
30-Aug-19,1.8282
29-Aug-19,1.864
28-Aug-19,1.851
27-Aug-19,1.8159
26-Aug-19,1.7924
23-Aug-19,1.8156
22-Aug-19,1.8413
21-Aug-19,1.8573
20-Aug-19,1.8543
19-Aug-19,1.8331
16-Aug-19,1.8128
15-Aug-19,1.8107
14-Aug-19,1.8437
13-Aug-19,1.8773
12-Aug-19,1.8058
9-Aug-19,1.808
8-Aug-19,1.7766
7-Aug-19,1.7532
6-Aug-19,1.824
5-Aug-19,1.8356
2-Aug-19,1.8902
1-Aug-19,1.8529
31-Jul-19,1.955
30-Jul-19,1.944
29-Jul-19,1.9106
26-Jul-19,1.9044
25-Jul-19,1.9143
24-Jul-19,1.9087
23-Jul-19,1.9217
22-Jul-19,1.8995
19-Jul-19,1.8896
18-Jul-19,1.8625
17-Jul-19,1.8926
16-Jul-19,1.9049
15-Jul-19,1.9516
12-Jul-19,1.9801
11-Jul-19,1.9786
10-Jul-19,1.991
9-Jul-19,1.9106
8-Jul-19,1.8953
5-Jul-19,1.905
4-Jul-19,1.8866
3-Jul-19,1.8987
2-Jul-19,1.8863
1-Jul-19,1.9538
28-Jun-19,1.9446
27-Jun-19,1.9525
26-Jun-19,1.9713
25-Jun-19,1.9234
24-Jun-19,1.9089
21-Jun-19,1.9158
20-Jun-19,1.8843
19-Jun-19,1.8294
18-Jun-19,1.8278
17-Jun-19,1.7995
14-Jun-19,1.8294
13-Jun-19,1.8066
12-Jun-19,1.7799
11-Jun-19,1.8221
10-Jun-19,1.8063
7-Jun-19,1.8248
6-Jun-19,1.7883
5-Jun-19,1.78
4-Jun-19,1.8215
3-Jun-19,1.8065
31-May-19,1.8418
30-May-19,1.915
29-May-19,1.9675
28-May-19,1.9925
27-May-19,2.005
26-May-19,1.9861
24-May-19,1.9713
23-May-19,1.9624
22-May-19,2.0491
21-May-19,2.0794
20-May-19,2.0736
17-May-19,2.0955
16-May-19,2.1232
15-May-19,2.0863
14-May-19,2.0589
13-May-19,2.0384
10-May-19,2.0504
9-May-19,2.0436
8-May-19,2.0562
7-May-19,2.0376
6-May-19,2.0676
3-May-19,2.0702
2-May-19,2.0778
1-May-19,2.0942
30-Apr-19,2.0812
29-Apr-19,2.0549
26-Apr-19,2.0512
25-Apr-19,2.0981
24-Apr-19,2.0987
23-Apr-19,2.118
22-Apr-19,2.104
18-Apr-19,2.0709
17-Apr-19,2.0692
16-Apr-19,2.0822
15-Apr-19,2.061
12-Apr-19,2.0707
11-Apr-19,2.0672
10-Apr-19,2.0876
9-Apr-19,2.0449
8-Apr-19,2.0571
5-Apr-19,2.0424
4-Apr-19,2.0134
3-Apr-19,2.0068
2-Apr-19,2.0089
1-Apr-19,1.9881
29-Mar-19,1.9734
28-Mar-19,1.972
27-Mar-19,1.9806
26-Mar-19,1.9899
25-Mar-19,1.9804
22-Mar-19,1.9659
21-Mar-19,1.9871
20-Mar-19,2.0081
19-Mar-19,1.9904
18-Mar-19,1.969
15-Mar-19,1.9677
14-Mar-19,1.9849
13-Mar-19,1.9921
12-Mar-19,1.9857
11-Mar-19,1.9942
8-Mar-19,1.9998
7-Mar-19,2.0127
6-Mar-19,2.0162
5-Mar-19,2.0164
4-Mar-19,2.0143
1-Mar-19,2.001
28-Feb-19,2.0235
27-Feb-19,2.0216
26-Feb-19,1.9985
25-Feb-19,1.9746
22-Feb-19,2.0311
21-Feb-19,2.0363
20-Feb-19,2.0183
19-Feb-19,1.9946
18-Feb-19,2.0187
17-Feb-19,2.0231
15-Feb-19,2.0203
14-Feb-19,1.9716
13-Feb-19,1.9388
12-Feb-19,1.9072
11-Feb-19,1.8922
8-Feb-19,1.9085
7-Feb-19,1.9005
6-Feb-19,1.9122
5-Feb-19,1.8975
4-Feb-19,1.9074
1-Feb-19,1.9127
31-Jan-19,1.8788
30-Jan-19,1.8984
29-Jan-19,1.8975
28-Jan-19,1.8377
25-Jan-19,1.8919
24-Jan-19,1.8856
23-Jan-19,1.8886
22-Jan-19,1.9011
21-Jan-19,1.9244
20-Jan-19,1.907
18-Jan-19,1.916
17-Jan-19,1.8843
16-Jan-19,1.8946
15-Jan-19,1.8722
14-Jan-19,1.8525
11-Jan-19,1.8797
10-Jan-19,1.9061
9-Jan-19,1.8808
8-Jan-19,1.827
7-Jan-19,1.7784
4-Jan-19,1.7692
3-Jan-19,1.742
2-Jan-19,1.7006
1-Jan-19,1.6856
31-Dec-18,1.6808
28-Dec-18,1.6647
27-Dec-18,1.6783
26-Dec-18,1.7336
25-Dec-18,1.6706
