Date,MSCI
1/4/2010,31.98
1/5/2010,32.099998
1/6/2010,31.23
1/7/2010,33.380001
1/8/2010,34.5
1/11/2010,34.209999
1/12/2010,33.23
1/13/2010,33.349998
1/14/2010,33.099998
1/15/2010,32.139999
1/19/2010,32.5
1/20/2010,32.080002
1/21/2010,31.07
1/22/2010,30.450001
1/25/2010,30.389999
1/26/2010,29.469999
1/27/2010,29.9
1/28/2010,29.690001
1/29/2010,29.559999
2/1/2010,29.91
2/2/2010,29.74
2/3/2010,29.450001
2/4/2010,28.59
2/5/2010,28.780001
2/8/2010,27.879999
2/9/2010,28.360001
2/10/2010,28.530001
2/11/2010,29.200001
2/12/2010,29.17
2/16/2010,29.58
2/17/2010,29.08
2/18/2010,28.700001
2/19/2010,29.290001
2/22/2010,29.360001
2/23/2010,29.459999
2/24/2010,29.959999
2/25/2010,29.84
2/26/2010,29.98
3/1/2010,28.59
3/2/2010,32.610001
3/3/2010,32.119999
3/4/2010,32.869999
3/5/2010,33.619999
3/8/2010,34.009998
3/9/2010,33.580002
3/10/2010,33.580002
3/11/2010,34.32
3/12/2010,34.860001
3/15/2010,34.549999
3/16/2010,34.919998
3/17/2010,35.369999
3/18/2010,35.220001
3/19/2010,35.07
3/22/2010,35.720001
3/23/2010,36.189999
3/24/2010,35.93
3/25/2010,35.84
3/26/2010,35.759998
3/29/2010,35.790001
3/30/2010,36.150002
3/31/2010,36.099998
4/1/2010,36.470001
4/5/2010,36.98
4/6/2010,37.369999
4/7/2010,37.310001
4/8/2010,36.189999
4/9/2010,36.619999
4/12/2010,37.099998
4/13/2010,37.02
4/14/2010,37.110001
4/15/2010,37.959999
4/16/2010,37.25
4/19/2010,36.490002
4/20/2010,37.389999
4/21/2010,35.990002
4/22/2010,36.439999
4/23/2010,36.700001
4/26/2010,36.959999
4/27/2010,35.959999
4/28/2010,35.41
4/29/2010,35.459999
4/30/2010,34.650002
5/3/2010,34.759998
5/4/2010,34.18
5/5/2010,33.990002
5/6/2010,32.98
5/7/2010,32.43
5/10/2010,33.75
5/11/2010,33.700001
5/12/2010,34.240002
5/13/2010,33.950001
5/14/2010,32.790001
5/17/2010,32.709999
5/18/2010,32.32
5/19/2010,31.459999
5/20/2010,29.75
5/21/2010,30.200001
5/24/2010,29.75
5/25/2010,29.030001
5/26/2010,28.690001
5/27/2010,29.690001
5/28/2010,29.65
6/1/2010,29.42
6/2/2010,30.139999
6/3/2010,29.540001
6/4/2010,28.799999
6/7/2010,28.15
6/8/2010,28.280001
6/9/2010,28.059999
6/10/2010,29.120001
6/11/2010,29.690001
6/14/2010,29.25
6/15/2010,29.540001
6/16/2010,30.120001
6/17/2010,29.9
6/18/2010,29.969999
6/21/2010,30.120001
6/22/2010,30.059999
6/23/2010,29.49
6/24/2010,28.629999
6/25/2010,29.09
6/28/2010,29.040001
6/29/2010,27.23
6/30/2010,27.4
7/1/2010,27.34
7/2/2010,27.77
7/6/2010,28.360001
7/7/2010,29.629999
7/8/2010,30.16
7/9/2010,30.66
7/12/2010,30.68
7/13/2010,31.02
7/14/2010,31.49
7/15/2010,31.530001
7/16/2010,31.01
7/19/2010,30.799999
7/20/2010,31.120001
7/21/2010,30.540001
7/22/2010,31.59
7/23/2010,33.130001
7/26/2010,33.049999
7/27/2010,33.009998
7/28/2010,32.73
7/29/2010,31.799999
7/30/2010,32.27
8/2/2010,33.25
8/3/2010,33.209999
8/4/2010,33.389999
8/5/2010,32.93
8/6/2010,32.799999
8/9/2010,33.150002
8/10/2010,32.709999
8/11/2010,31.15
8/12/2010,31.280001
8/13/2010,31.23
8/16/2010,31.48
8/17/2010,31.51
8/18/2010,32.200001
8/19/2010,31.120001
8/20/2010,30.9
8/23/2010,30.639999
8/24/2010,29.719999
8/25/2010,29.809999
8/26/2010,30.02
8/27/2010,30.49
8/30/2010,29.67
8/31/2010,29.9
9/1/2010,30.82
9/2/2010,31.540001
9/3/2010,32.650002
9/7/2010,32.369999
9/8/2010,32.950001
9/9/2010,33.34
9/10/2010,33
9/13/2010,34.380001
9/14/2010,34.389999
9/15/2010,34.110001
9/16/2010,34.509998
9/17/2010,34.75
9/20/2010,35.16
9/21/2010,34.880001
9/22/2010,34.400002
9/23/2010,33.669998
9/24/2010,34.169998
9/27/2010,33.599998
9/28/2010,34.389999
9/29/2010,34.48
9/30/2010,33.209999
10/1/2010,34.330002
10/4/2010,33.869999
10/5/2010,34.389999
10/6/2010,33.98
10/7/2010,34.619999
10/8/2010,34.91
10/11/2010,34.950001
10/12/2010,35.16
10/13/2010,35.639999
10/14/2010,35.450001
10/15/2010,35.880001
10/18/2010,36.950001
10/19/2010,37.16
10/20/2010,37.23
10/21/2010,36.84
10/22/2010,36.650002
10/25/2010,36.290001
10/26/2010,35.830002
10/27/2010,35.75
10/28/2010,35.77
10/29/2010,35.849998
11/1/2010,35.73
11/2/2010,36.009998
11/3/2010,35.919998
11/4/2010,36.799999
11/5/2010,37.07
11/8/2010,37.32
11/9/2010,36.799999
11/10/2010,37.439999
11/11/2010,37.099998
11/12/2010,35.950001
11/15/2010,35.880001
11/16/2010,35.060001
11/17/2010,34.75
11/18/2010,35.369999
11/19/2010,35.259998
11/22/2010,35.200001
11/23/2010,34.299999
11/24/2010,35.16
11/26/2010,34.919998
11/29/2010,34.779999
11/30/2010,34.060001
12/1/2010,35.209999
12/2/2010,36.369999
12/3/2010,36.599998
12/6/2010,36.380001
12/7/2010,36.860001
12/8/2010,37.130001
12/9/2010,36.740002
12/10/2010,36.560001
12/13/2010,36.700001
12/14/2010,37.02
12/15/2010,36.799999
12/16/2010,37.07
12/17/2010,37.630001
12/20/2010,37.439999
12/21/2010,38.529999
12/22/2010,39.93
12/23/2010,40
12/27/2010,40.02
12/28/2010,39.529999
12/29/2010,39.790001
12/30/2010,39.41
12/31/2010,38.959999
1/3/2011,39.450001
1/4/2011,38.799999
1/5/2011,39.32
1/6/2011,39.02
1/7/2011,38.759998
1/10/2011,38.639999
1/11/2011,39.07
1/12/2011,39.720001
1/13/2011,36.75
1/14/2011,36.419998
1/18/2011,36.290001
1/19/2011,35.240002
1/20/2011,35.119999
1/21/2011,35.5
1/24/2011,35.5
1/25/2011,35.150002
1/26/2011,34.900002
1/27/2011,34.830002
1/28/2011,34
1/31/2011,34.23
2/1/2011,34.639999
2/2/2011,34.669998
2/3/2011,34.110001
2/4/2011,34.799999
2/7/2011,36.09
2/8/2011,35.799999
2/9/2011,35.950001
2/10/2011,36
2/11/2011,36.110001
2/14/2011,36.27
2/15/2011,36.009998
2/16/2011,36.220001
2/17/2011,36.389999
2/18/2011,36.93
2/22/2011,36.389999
2/23/2011,35.959999
2/24/2011,36
2/25/2011,36.099998
2/28/2011,35.5
3/1/2011,34.790001
3/2/2011,35.009998
3/3/2011,35.73
3/4/2011,35.25
3/7/2011,34.959999
3/8/2011,35.459999
3/9/2011,35.5
3/10/2011,34.59
3/11/2011,35.25
3/14/2011,35.040001
3/15/2011,34.240002
3/16/2011,33.91
3/17/2011,34.32
3/18/2011,35.060001
3/21/2011,35.75
3/22/2011,35.540001
3/23/2011,35.650002
3/24/2011,36.009998
3/25/2011,36.560001
3/28/2011,36.459999
3/29/2011,36.700001
3/30/2011,36.27
3/31/2011,36.82
4/1/2011,38.18
4/4/2011,38.220001
4/5/2011,37.459999
4/6/2011,37.59
4/7/2011,37.419998
4/8/2011,36.639999
4/11/2011,36.439999
4/12/2011,36.169998
4/13/2011,35.73
4/14/2011,34.950001
