Date,Natural Gas
1/2/2020,2.05
12/31/2019,2.09
12/30/2019,2.06
12/27/2019,1.75
12/26/2019,2.09
12/24/2019,2.11
12/23/2019,2.17
12/20/2019,2.27
12/19/2019,2.21
12/18/2019,2.26
12/17/2019,2.3
12/16/2019,2.34
12/13/2019,2.28
12/12/2019,2.28
12/11/2019,2.28
12/10/2019,2.18
12/9/2019,2.17
12/6/2019,2.31
12/5/2019,2.42
12/4/2019,2.43
12/3/2019,2.42
12/2/2019,2.29
11/29/2019,2.46
11/27/2019,2.46
11/26/2019,2.51
11/25/2019,2.51
11/22/2019,2.62
11/21/2019,2.53
11/20/2019,2.56
11/19/2019,2.53
11/18/2019,2.64
11/15/2019,2.7
11/14/2019,2.68
11/13/2019,2.66
11/12/2019,2.72
11/8/2019,2.87
11/7/2019,2.84
11/6/2019,2.82
11/5/2019,2.77
11/4/2019,2.77
11/1/2019,2.54
10/31/2019,2.73
10/30/2019,2.71
10/29/2019,2.61
10/28/2019,2.49
10/25/2019,2.26
10/24/2019,2.33
10/23/2019,2.34
10/22/2019,2.21
10/21/2019,2.13
10/18/2019,2.08
10/17/2019,2.29
10/16/2019,2.44
10/15/2019,2.29
10/14/2019,2.13
10/11/2019,2.13
10/10/2019,2.26
10/9/2019,2.26
10/8/2019,2.29
10/7/2019,2.36
10/4/2019,2.25
10/3/2019,2.31
10/2/2019,2.36
10/1/2019,2.36
9/30/2019,2.37
9/27/2019,2.41
9/26/2019,2.57
9/25/2019,2.54
9/24/2019,2.55
9/23/2019,2.55
9/20/2019,2.34
9/19/2019,2.65
9/18/2019,2.72
9/17/2019,2.7
9/16/2019,2.75
9/13/2019,2.61
9/12/2019,2.62
9/11/2019,2.63
9/10/2019,2.67
9/9/2019,2.65
9/6/2019,2.49
9/5/2019,2.49
9/4/2019,2.48
9/3/2019,2.39
8/30/2019,2.33
8/29/2019,2.36
8/28/2019,2.24
8/27/2019,2.24
8/26/2019,2.23
8/23/2019,2.15
8/22/2019,2.28
8/21/2019,2.31
8/20/2019,2.35
8/19/2019,2.26
8/16/2019,2.2
8/15/2019,2.19
8/14/2019,2.22
8/13/2019,2.24
8/12/2019,2.21
8/9/2019,2.09
8/8/2019,2.13
8/7/2019,2.18
8/6/2019,2.15
8/5/2019,2.02
