Date,USDX
31-Dec-19,96.058
30-Dec-19,96.407
27-Dec-19,96.546
26-Dec-19,97.115
24-Dec-19,97.251
23-Dec-19,97.235
20-Dec-19,97.274
19-Dec-19,96.955
18-Dec-19,96.963
17-Dec-19,96.777
16-Dec-19,96.965
13-Dec-19,97.171
12-Dec-19,97.384
11-Dec-19,97.056
10-Dec-19,97.385
9-Dec-19,97.609
6-Dec-19,97.661
5-Dec-19,97.371
4-Dec-19,97.602
3-Dec-19,97.681
2-Dec-19,97.791
29-Nov-19,98.202
28-Nov-19,98.288
27-Nov-19,98.288
26-Nov-19,98.17
25-Nov-19,98.238
22-Nov-19,98.176
21-Nov-19,97.899
20-Nov-19,97.814
19-Nov-19,97.742
18-Nov-19,97.663
15-Nov-19,97.871
14-Nov-19,98.019
13-Nov-19,98.23
12-Nov-19,98.151
11-Nov-19,98.033
8-Nov-19,98.201
7-Nov-19,97.989
6-Nov-19,97.764
5-Nov-19,97.805
4-Nov-19,97.366
1-Nov-19,97.041
31-Oct-19,97.154
30-Oct-19,97.439
29-Oct-19,97.469
28-Oct-19,97.524
25-Oct-19,97.599
24-Oct-19,97.405
23-Oct-19,97.236
22-Oct-19,97.256
21-Oct-19,97.05
18-Oct-19,97.008
17-Oct-19,97.335
16-Oct-19,97.723
15-Oct-19,98.003
14-Oct-19,98.17
11-Oct-19,98.005
10-Oct-19,98.406
9-Oct-19,98.815
8-Oct-19,98.822
7-Oct-19,98.665
4-Oct-19,98.488
3-Oct-19,98.54
2-Oct-19,98.689
1-Oct-19,98.777
30-Sep-19,99.021
27-Sep-19,98.761
26-Sep-19,98.765
25-Sep-19,98.659
24-Sep-19,97.927
23-Sep-19,98.221
20-Sep-19,98.136
19-Sep-19,97.847
18-Sep-19,98.134
17-Sep-19,97.819
16-Sep-19,98.627
13-Sep-19,98.255
12-Sep-19,98.308
11-Sep-19,98.628
10-Sep-19,98.307
9-Sep-19,98.248
6-Sep-19,98.362
5-Sep-19,98.382
4-Sep-19,98.393
3-Sep-19,98.949
2-Sep-19,98.86
30-Aug-19,98.86
29-Aug-19,98.455
28-Aug-19,98.12
27-Aug-19,97.907
26-Aug-19,97.989
23-Aug-19,97.53
22-Aug-19,98.064
21-Aug-19,98.179
20-Aug-19,98.063
19-Aug-19,98.221
16-Aug-19,98.007
15-Aug-19,98.005
14-Aug-19,97.826
13-Aug-19,97.631
12-Aug-19,97.198
9-Aug-19,97.322
8-Aug-19,97.434
7-Aug-19,97.345
6-Aug-19,97.417
5-Aug-19,97.308
2-Aug-19,97.852
1-Aug-19,98.144
31-Jul-19,98.258
30-Jul-19,97.809
29-Jul-19,97.796
26-Jul-19,97.751
