Date,value
1/1/2010,0.17
1/2/2010,0.152903226
1/3/2010,0.135806452
1/4/2010,0.118709678
1/5/2010,0.101612904
1/6/2010,0.084516129
1/7/2010,0.067419355
1/8/2010,0.050322581
1/9/2010,0.033225807
1/10/2010,0.016129033
1/11/2010,-0.000967741
1/12/2010,-0.018064515
1/13/2010,-0.035161289
1/14/2010,-0.052258063
1/15/2010,-0.069354837
1/16/2010,-0.086451611
1/17/2010,-0.103548386
1/18/2010,-0.12064516
1/19/2010,-0.137741934
1/20/2010,-0.154838708
1/21/2010,-0.171935482
1/22/2010,-0.189032256
1/23/2010,-0.206129031
1/24/2010,-0.223225805
1/25/2010,-0.240322579
1/26/2010,-0.257419353
1/27/2010,-0.274516128
1/28/2010,-0.291612902
1/29/2010,-0.308709677
1/30/2010,-0.325806451
1/31/2010,-0.342903225
2/1/2010,-0.36
2/2/2010,-0.330357143
2/3/2010,-0.300714285
2/4/2010,-0.271071428
2/5/2010,-0.241428571
2/6/2010,-0.211785714
2/7/2010,-0.182142857
2/8/2010,-0.1525
2/9/2010,-0.122857143
2/10/2010,-0.093214285
2/11/2010,-0.063571428
2/12/2010,-0.033928571
2/13/2010,-0.004285714
2/14/2010,0.025357143
2/15/2010,0.055
2/16/2010,0.084642857
2/17/2010,0.114285714
2/18/2010,0.143928571
2/19/2010,0.173571428
2/20/2010,0.203214285
2/21/2010,0.232857142
2/22/2010,0.262499999
2/23/2010,0.292142856
2/24/2010,0.321785714
2/25/2010,0.351428571
2/26/2010,0.381071428
2/27/2010,0.410714285
2/28/2010,0.440357143
3/1/2010,0.47
3/2/2010,0.466774193
3/3/2010,0.463548386
3/4/2010,0.460322579
3/5/2010,0.457096772
3/6/2010,0.453870965
3/7/2010,0.450645158
3/8/2010,0.447419352
3/9/2010,0.444193545
3/10/2010,0.440967738
3/11/2010,0.437741931
3/12/2010,0.434516125
3/13/2010,0.431290318
3/14/2010,0.428064512
3/15/2010,0.424838705
3/16/2010,0.421612899
3/17/2010,0.418387092
3/18/2010,0.415161286
3/19/2010,0.411935479
3/20/2010,0.408709673
3/21/2010,0.405483867
3/22/2010,0.402258061
3/23/2010,0.399032254
3/24/2010,0.395806448
3/25/2010,0.392580642
3/26/2010,0.389354836
3/27/2010,0.38612903
3/28/2010,0.382903224
3/29/2010,0.379677418
3/30/2010,0.376451612
3/31/2010,0.373225806
4/1/2010,0.37
4/2/2010,0.367666666
4/3/2010,0.365333332
4/4/2010,0.362999999
4/5/2010,0.360666665
4/6/2010,0.358333331
4/7/2010,0.355999998
4/8/2010,0.353666664
4/9/2010,0.351333331
4/10/2010,0.348999997
4/11/2010,0.346666664
4/12/2010,0.34433333
4/13/2010,0.341999997
4/14/2010,0.339666663
4/15/2010,0.33733333
4/16/2010,0.334999997
4/17/2010,0.332666663
4/18/2010,0.33033333
4/19/2010,0.327999997
4/20/2010,0.325666664
4/21/2010,0.32333333
4/22/2010,0.320999997
4/23/2010,0.318666664
4/24/2010,0.316333331
4/25/2010,0.313999998
4/26/2010,0.311666665
4/27/2010,0.309333332
4/28/2010,0.306999999
4/29/2010,0.304666666
4/30/2010,0.302333333
5/1/2010,0.3
5/2/2010,0.28516129
5/3/2010,0.27032258
5/4/2010,0.255483871
5/5/2010,0.240645161
5/6/2010,0.225806451
5/7/2010,0.210967741
5/8/2010,0.196129032
5/9/2010,0.181290322
5/10/2010,0.166451612
5/11/2010,0.151612903
5/12/2010,0.136774193
5/13/2010,0.121935483
5/14/2010,0.107096774
5/15/2010,0.092258064
5/16/2010,0.077419354
5/17/2010,0.062580645
5/18/2010,0.047741935
5/19/2010,0.032903226
5/20/2010,0.018064516
5/21/2010,0.003225806
5/22/2010,-0.011612903
5/23/2010,-0.026451613
5/24/2010,-0.041290323
5/25/2010,-0.056129032
5/26/2010,-0.070967742
5/27/2010,-0.085806452
5/28/2010,-0.100645161
5/29/2010,-0.115483871
5/30/2010,-0.130322581
5/31/2010,-0.14516129
6/1/2010,-0.16
6/2/2010,-0.149666667
6/3/2010,-0.139333333
6/4/2010,-0.129
6/5/2010,-0.118666666
6/6/2010,-0.108333333
6/7/2010,-0.097999999
6/8/2010,-0.087666666
6/9/2010,-0.077333333
6/10/2010,-0.066999999
6/11/2010,-0.056666666
6/12/2010,-0.046333333
6/13/2010,-0.035999999
6/14/2010,-0.025666666
6/15/2010,-0.015333333
6/16/2010,-0.005
6/17/2010,0.005333334
6/18/2010,0.015666667
6/19/2010,0.026
6/20/2010,0.036333334
6/21/2010,0.046666667
6/22/2010,0.057
6/23/2010,0.067333333
6/24/2010,0.077666667
6/25/2010,0.088
6/26/2010,0.098333333
6/27/2010,0.108666667
6/28/2010,0.119
6/29/2010,0.129333333
6/30/2010,0.139666667
7/1/2010,0.15
7/2/2010,0.139677419
7/3/2010,0.129354839
7/4/2010,0.119032258
7/5/2010,0.108709677
7/6/2010,0.098387097
7/7/2010,0.088064516
7/8/2010,0.077741936
7/9/2010,0.067419355
7/10/2010,0.057096774
7/11/2010,0.046774194
7/12/2010,0.036451613
7/13/2010,0.026129033
7/14/2010,0.015806452
7/15/2010,0.005483871
7/16/2010,-0.004838709
7/17/2010,-0.01516129
7/18/2010,-0.02548387
7/19/2010,-0.035806451
7/20/2010,-0.046129032
7/21/2010,-0.056451612
7/22/2010,-0.066774193
7/23/2010,-0.077096774
7/24/2010,-0.087419354
7/25/2010,-0.097741935
7/26/2010,-0.108064516
7/27/2010,-0.118387096
7/28/2010,-0.128709677
7/29/2010,-0.139032258
7/30/2010,-0.149354838
7/31/2010,-0.159677419
8/1/2010,-0.17
8/2/2010,-0.171290322
8/3/2010,-0.172580645
8/4/2010,-0.173870967
8/5/2010,-0.175161289
8/6/2010,-0.176451611
8/7/2010,-0.177741934
8/8/2010,-0.179032256
8/9/2010,-0.180322579
8/10/2010,-0.181612901
8/11/2010,-0.182903223
8/12/2010,-0.184193546
8/13/2010,-0.185483868
8/14/2010,-0.186774191
8/15/2010,-0.188064513
8/16/2010,-0.189354836
8/17/2010,-0.190645159
8/18/2010,-0.191935481
8/19/2010,-0.193225804
8/20/2010,-0.194516126
8/21/2010,-0.195806449
8/22/2010,-0.197096772
8/23/2010,-0.198387095
8/24/2010,-0.199677417
8/25/2010,-0.20096774
8/26/2010,-0.202258063
8/27/2010,-0.203548386
8/28/2010,-0.204838708
8/29/2010,-0.206129031
8/30/2010,-0.207419354
8/31/2010,-0.208709677
9/1/2010,-0.21
9/2/2010,-0.207
9/3/2010,-0.203999999
9/4/2010,-0.200999999
9/5/2010,-0.197999999
9/6/2010,-0.194999999
9/7/2010,-0.191999999
9/8/2010,-0.188999998
9/9/2010,-0.185999998
9/10/2010,-0.182999998
9/11/2010,-0.179999998
9/12/2010,-0.176999998
9/13/2010,-0.173999998
9/14/2010,-0.170999998
9/15/2010,-0.167999998
9/16/2010,-0.164999998
9/17/2010,-0.161999998
9/18/2010,-0.158999998
9/19/2010,-0.155999998
9/20/2010,-0.152999998
9/21/2010,-0.149999998
9/22/2010,-0.146999998
9/23/2010,-0.143999998
9/24/2010,-0.140999998
9/25/2010,-0.137999999
9/26/2010,-0.134999999
9/27/2010,-0.131999999
9/28/2010,-0.128999999
9/29/2010,-0.125999999
9/30/2010,-0.123
10/1/2010,-0.12
10/2/2010,-0.122580645
10/3/2010,-0.12516129
10/4/2010,-0.127741935
10/5/2010,-0.13032258
10/6/2010,-0.132903225
10/7/2010,-0.13548387
10/8/2010,-0.138064515
10/9/2010,-0.14064516
10/10/2010,-0.143225805
10/11/2010,-0.14580645
10/12/2010,-0.148387095
10/13/2010,-0.15096774
10/14/2010,-0.153548385
10/15/2010,-0.15612903
10/16/2010,-0.158709675
10/17/2010,-0.16129032
10/18/2010,-0.163870965
10/19/2010,-0.166451611
10/20/2010,-0.169032256
10/21/2010,-0.171612901
10/22/2010,-0.174193546
10/23/2010,-0.176774192
10/24/2010,-0.179354837
10/25/2010,-0.181935482
10/26/2010,-0.184516128
10/27/2010,-0.187096773
10/28/2010,-0.189677418
10/29/2010,-0.192258064
10/30/2010,-0.194838709
10/31/2010,-0.197419355
11/1/2010,-0.2
11/2/2010,-0.191333333
11/3/2010,-0.182666666
11/4/2010,-0.173999999
11/5/2010,-0.165333333
11/6/2010,-0.156666666
11/7/2010,-0.147999999
11/8/2010,-0.139333332
11/9/2010,-0.130666666
11/10/2010,-0.121999999
11/11/2010,-0.113333332
11/12/2010,-0.104666665
11/13/2010,-0.095999999
11/14/2010,-0.087333332
11/15/2010,-0.078666665
11/16/2010,-0.069999999
11/17/2010,-0.061333332
11/18/2010,-0.052666666
11/19/2010,-0.043999999
11/20/2010,-0.035333332
11/21/2010,-0.026666666
11/22/2010,-0.017999999
11/23/2010,-0.009333333
11/24/2010,-0.000666666
11/25/2010,0.008000001
11/26/2010,0.016666667
11/27/2010,0.025333334
11/28/2010,0.034
11/29/2010,0.042666667
11/30/2010,0.051333333
12/1/2010,0.06
12/2/2010,0.059032258
12/3/2010,0.058064516
12/4/2010,0.057096774
12/5/2010,0.056129032
12/6/2010,0.05516129
12/7/2010,0.054193548
12/8/2010,0.053225806
12/9/2010,0.052258064
12/10/2010,0.051290322
12/11/2010,0.050322581
12/12/2010,0.049354839
12/13/2010,0.048387097
12/14/2010,0.047419355
12/15/2010,0.046451613
12/16/2010,0.045483871
12/17/2010,0.044516129
12/18/2010,0.043548387
12/19/2010,0.042580645
12/20/2010,0.041612903
12/21/2010,0.040645161
12/22/2010,0.039677419
