Date,value
1/1/2010,89.2744
1/2/2010,89.28376775
1/3/2010,89.2931355
1/4/2010,89.30250325
1/5/2010,89.311871
1/6/2010,89.32123875
1/7/2010,89.3306065
1/8/2010,89.33997424
1/9/2010,89.34934199
1/10/2010,89.35870974
1/11/2010,89.36807748
1/12/2010,89.37744523
1/13/2010,89.38681297
1/14/2010,89.39618071
1/15/2010,89.40554846
1/16/2010,89.4149162
1/17/2010,89.42428394
1/18/2010,89.43365168
1/19/2010,89.44301942
1/20/2010,89.45238716
1/21/2010,89.4617549
1/22/2010,89.47112264
1/23/2010,89.48049038
1/24/2010,89.48985812
1/25/2010,89.49922586
1/26/2010,89.50859359
1/27/2010,89.51796133
1/28/2010,89.52732906
1/29/2010,89.5366968
1/30/2010,89.54606453
1/31/2010,89.55543227
2/1/2010,89.5648
2/2/2010,89.58854286
2/3/2010,89.61228573
2/4/2010,89.63602859
2/5/2010,89.65977145
2/6/2010,89.68351432
2/7/2010,89.70725718
2/8/2010,89.73100004
2/9/2010,89.7547429
2/10/2010,89.77848576
2/11/2010,89.80222862
2/12/2010,89.82597148
2/13/2010,89.84971434
2/14/2010,89.8734572
2/15/2010,89.89720005
2/16/2010,89.92094291
2/17/2010,89.94468577
2/18/2010,89.96842862
2/19/2010,89.99217148
2/20/2010,90.01591433
2/21/2010,90.03965719
2/22/2010,90.06340004
2/23/2010,90.08714289
2/24/2010,90.11088574
2/25/2010,90.1346286
2/26/2010,90.15837145
2/27/2010,90.1821143
2/28/2010,90.20585715
3/1/2010,90.2296
3/2/2010,90.24054517
3/3/2010,90.25149034
3/4/2010,90.2624355
3/5/2010,90.27338067
3/6/2010,90.28432584
3/7/2010,90.295271
3/8/2010,90.30621617
3/9/2010,90.31716134
3/10/2010,90.3281065
3/11/2010,90.33905166
3/12/2010,90.34999683
3/13/2010,90.36094199
3/14/2010,90.37188715
3/15/2010,90.38283232
3/16/2010,90.39377748
3/17/2010,90.40472264
3/18/2010,90.4156678
