time,value
1/1/2010,1247
1/2/2010,1247
1/3/2010,1248
1/4/2010,1248
1/5/2010,1248
1/6/2010,1249
1/7/2010,1250
1/8/2010,1251
1/9/2010,1252
1/10/2010,1253
1/11/2010,1254
1/12/2010,1255
1/13/2010,1257
1/14/2010,1258
1/15/2010,1260
1/16/2010,1262
1/17/2010,1264
1/18/2010,1266
1/19/2010,1268
1/20/2010,1270
1/21/2010,1273
1/22/2010,1275
1/23/2010,1278
1/24/2010,1280
1/25/2010,1283
1/26/2010,1286
1/27/2010,1289
1/28/2010,1293
1/29/2010,1296
1/30/2010,1300
1/31/2010,1303
2/1/2010,1307
2/2/2010,1311
2/3/2010,1314
2/4/2010,1318
2/5/2010,1321
2/6/2010,1325
2/7/2010,1328
2/8/2010,1331
2/9/2010,1335
2/10/2010,1338
2/11/2010,1341
2/12/2010,1344
2/13/2010,1347
2/14/2010,1350
2/15/2010,1353
2/16/2010,1356
2/17/2010,1358
2/18/2010,1361
2/19/2010,1364
2/20/2010,1366
2/21/2010,1369
2/22/2010,1371
2/23/2010,1374
2/24/2010,1376
2/25/2010,1379
2/26/2010,1381
2/27/2010,1383
2/28/2010,1385
3/1/2010,1387
3/2/2010,1389
3/3/2010,1391
3/4/2010,1393
3/5/2010,1395
3/6/2010,1397
3/7/2010,1400
3/8/2010,1402
3/9/2010,1404
3/10/2010,1406
3/11/2010,1408
3/12/2010,1410
3/13/2010,1412
3/14/2010,1414
3/15/2010,1416
3/16/2010,1418
3/17/2010,1420
3/18/2010,1423
3/19/2010,1425
3/20/2010,1427
3/21/2010,1429
3/22/2010,1431
3/23/2010,1433
3/24/2010,1435
3/25/2010,1437
3/26/2010,1440
3/27/2010,1442
3/28/2010,1444
3/29/2010,1446
3/30/2010,1448
3/31/2010,1450
4/1/2010,1453
4/2/2010,1455
4/3/2010,1457
4/4/2010,1459
4/5/2010,1461
4/6/2010,1463
4/7/2010,1465
4/8/2010,1467
4/9/2010,1469
4/10/2010,1470
4/11/2010,1472
4/12/2010,1474
4/13/2010,1476
4/14/2010,1477
4/15/2010,1479
4/16/2010,1481
4/17/2010,1482
4/18/2010,1484
4/19/2010,1485
4/20/2010,1487
4/21/2010,1488
4/22/2010,1490
4/23/2010,1491
4/24/2010,1492
4/25/2010,1494
4/26/2010,1495
4/27/2010,1496
4/28/2010,1497
4/29/2010,1498
4/30/2010,1499
5/1/2010,1500
5/2/2010,1502
5/3/2010,1503
5/4/2010,1504
5/5/2010,1504
5/6/2010,1505
5/7/2010,1506
5/8/2010,1507
5/9/2010,1508
5/10/2010,1509
5/11/2010,1510
5/12/2010,1511
5/13/2010,1511
5/14/2010,1512
5/15/2010,1513
5/16/2010,1513
5/17/2010,1514
5/18/2010,1515
5/19/2010,1515
5/20/2010,1516
5/21/2010,1517
5/22/2010,1517
5/23/2010,1518
5/24/2010,1518
5/25/2010,1519
5/26/2010,1519
5/27/2010,1520
5/28/2010,1520
5/29/2010,1520
5/30/2010,1521
5/31/2010,1521
6/1/2010,1521
6/2/2010,1522
6/3/2010,1522
6/4/2010,1522
6/5/2010,1523
6/6/2010,1523
6/7/2010,1524
6/8/2010,1524
6/9/2010,1525
6/10/2010,1525
6/11/2010,1526
6/12/2010,1527
6/13/2010,1527
6/14/2010,1528
6/15/2010,1529
6/16/2010,1530
6/17/2010,1531
6/18/2010,1531
6/19/2010,1532
6/20/2010,1533
6/21/2010,1534
6/22/2010,1535
6/23/2010,1536
6/24/2010,1537
6/25/2010,1538
6/26/2010,1539
6/27/2010,1540
6/28/2010,1542
6/29/2010,1543
6/30/2010,1544
7/1/2010,1545
7/2/2010,1547
7/3/2010,1548
7/4/2010,1549
7/5/2010,1551
7/6/2010,1552
7/7/2010,1554
7/8/2010,1556
7/9/2010,1557
7/10/2010,1559
7/11/2010,1561
7/12/2010,1563
7/13/2010,1565
7/14/2010,1566
7/15/2010,1568
7/16/2010,1570
7/17/2010,1573
7/18/2010,1575
7/19/2010,1577
7/20/2010,1579
7/21/2010,1581
7/22/2010,1584
7/23/2010,1586
7/24/2010,1589
7/25/2010,1591
7/26/2010,1594
7/27/2010,1596
7/28/2010,1599
7/29/2010,1601
7/30/2010,1604
7/31/2010,1607
8/1/2010,1610
8/2/2010,1613
8/3/2010,1615
8/4/2010,1618
8/5/2010,1620
8/6/2010,1623
8/7/2010,1625
8/8/2010,1627
8/9/2010,1629
8/10/2010,1631
8/11/2010,1633
8/12/2010,1635
8/13/2010,1637
8/14/2010,1638
8/15/2010,1640
8/16/2010,1641
8/17/2010,1643
8/18/2010,1644
8/19/2010,1645
8/20/2010,1646
8/21/2010,1647
8/22/2010,1648
8/23/2010,1649
8/24/2010,1649
8/25/2010,1650
8/26/2010,1651
8/27/2010,1651
8/28/2010,1651
8/29/2010,1652
8/30/2010,1652
8/31/2010,1652
9/1/2010,1652
9/2/2010,1652
9/3/2010,1652
9/4/2010,1652
9/5/2010,1652
9/6/2010,1652
9/7/2010,1652
9/8/2010,1652
9/9/2010,1652
9/10/2010,1653
9/11/2010,1653
9/12/2010,1653
9/13/2010,1653
9/14/2010,1653
9/15/2010,1654
9/16/2010,1654
9/17/2010,1654
9/18/2010,1654
9/19/2010,1655
