time,value
1/1/2010,167529
1/2/2010,167140.8389
1/3/2010,166752.6778
1/4/2010,166364.5166
1/5/2010,165976.3555
1/6/2010,165588.1943
1/7/2010,165200.0331
1/8/2010,164811.872
1/9/2010,164423.7108
1/10/2010,164035.5496
1/11/2010,163647.3883
1/12/2010,163259.2271
1/13/2010,162871.0659
1/14/2010,162482.9046
1/15/2010,162094.7434
1/16/2010,161706.5821
1/17/2010,161318.4208
1/18/2010,160930.2595
1/19/2010,160542.0982
1/20/2010,160153.9369
1/21/2010,159765.7755
1/22/2010,159377.6142
1/23/2010,158989.4528
1/24/2010,158601.2914
1/25/2010,158213.13
1/26/2010,157824.9687
1/27/2010,157436.8072
1/28/2010,157048.6458
1/29/2010,156660.4844
1/30/2010,156272.3229
1/31/2010,155884.1615
2/1/2010,155496
2/2/2010,156048.8573
2/3/2010,156601.7146
2/4/2010,157154.5719
2/5/2010,157707.4291
2/6/2010,158260.2864
2/7/2010,158813.1436
2/8/2010,159366.0009
2/9/2010,159918.8581
2/10/2010,160471.7153
2/11/2010,161024.5725
2/12/2010,161577.4297
2/13/2010,162130.2869
2/14/2010,162683.144
2/15/2010,163236.0012
2/16/2010,163788.8583
2/17/2010,164341.7154
2/18/2010,164894.5725
2/19/2010,165447.4296
2/20/2010,166000.2867
2/21/2010,166553.1438
2/22/2010,167106.0009
2/23/2010,167658.8579
2/24/2010,168211.715
2/25/2010,168764.572
2/26/2010,169317.429
2/27/2010,169870.286
2/28/2010,170423.143
3/1/2010,170976
3/2/2010,170679.0002
3/3/2010,170382.0003
3/4/2010,170085.0005
3/5/2010,169788.0006
3/6/2010,169491.0007
3/7/2010,169194.0009
3/8/2010,168897.001
3/9/2010,168600.0011
3/10/2010,168303.0011
3/11/2010,168006.0012
3/12/2010,167709.0013
3/13/2010,167412.0013
3/14/2010,167115.0013
3/15/2010,166818.0014
3/16/2010,166521.0014
3/17/2010,166224.0014
3/18/2010,165927.0014
3/19/2010,165630.0014
3/20/2010,165333.0013
3/21/2010,165036.0013
3/22/2010,164739.0012
3/23/2010,164442.0011
3/24/2010,164145.0011
3/25/2010,163848.001
3/26/2010,163551.0009
3/27/2010,163254.0008
3/28/2010,162957.0006
3/29/2010,162660.0005
3/30/2010,162363.0003
3/31/2010,162066.0002
