time,value
1/1/2010,9.8
1/2/2010,9.799999995
1/3/2010,9.799999991
1/4/2010,9.799999987
1/5/2010,9.799999983
1/6/2010,9.799999979
1/7/2010,9.799999976
1/8/2010,9.799999973
1/9/2010,9.799999971
1/10/2010,9.799999969
1/11/2010,9.799999967
1/12/2010,9.799999965
1/13/2010,9.799999964
1/14/2010,9.799999963
1/15/2010,9.799999962
1/16/2010,9.799999962
1/17/2010,9.799999962
1/18/2010,9.799999962
1/19/2010,9.799999963
1/20/2010,9.799999964
1/21/2010,9.799999965
1/22/2010,9.799999967
1/23/2010,9.799999969
1/24/2010,9.799999971
1/25/2010,9.799999973
1/26/2010,9.799999976
1/27/2010,9.799999979
1/28/2010,9.799999983
1/29/2010,9.799999987
1/30/2010,9.799999991
1/31/2010,9.799999995
2/1/2010,9.8
2/2/2010,9.803571424
2/3/2010,9.807142849
2/4/2010,9.810714274
2/5/2010,9.814285699
2/6/2010,9.817857124
2/7/2010,9.82142855
2/8/2010,9.824999976
2/9/2010,9.828571403
2/10/2010,9.83214283
2/11/2010,9.835714257
2/12/2010,9.839285684
2/13/2010,9.842857112
2/14/2010,9.84642854
2/15/2010,9.849999969
2/16/2010,9.853571397
2/17/2010,9.857142826
2/18/2010,9.860714256
2/19/2010,9.864285685
2/20/2010,9.867857115
2/21/2010,9.871428546
2/22/2010,9.874999976
2/23/2010,9.878571407
2/24/2010,9.882142839
2/25/2010,9.88571427
2/26/2010,9.889285702
2/27/2010,9.892857134
2/28/2010,9.896428567
3/1/2010,9.9
3/2/2010,9.899999995
3/3/2010,9.899999991
3/4/2010,9.899999986
3/5/2010,9.899999982
3/6/2010,9.899999979
3/7/2010,9.899999976
3/8/2010,9.899999973
3/9/2010,9.89999997
3/10/2010,9.899999968
3/11/2010,9.899999966
3/12/2010,9.899999964
3/13/2010,9.899999963
3/14/2010,9.899999962
3/15/2010,9.899999961
3/16/2010,9.899999961
3/17/2010,9.899999961
3/18/2010,9.899999961
3/19/2010,9.899999962
3/20/2010,9.899999963
3/21/2010,9.899999964
3/22/2010,9.899999966
3/23/2010,9.899999968
3/24/2010,9.89999997
3/25/2010,9.899999973
3/26/2010,9.899999976
