Date,TCU
2010-01-01,70.6453
2010-02-01,71.0219
2010-03-01,71.7047
2010-04-01,72.137
2010-05-01,73.3014
2010-06-01,73.6056
2010-07-01,74.0648
2010-08-01,74.4508
2010-09-01,74.7374
2010-10-01,74.6624
2010-11-01,74.7743
2010-12-01,75.5556
2011-01-01,75.4561
2011-02-01,75.139
2011-03-01,75.9143
2011-04-01,75.6316
2011-05-01,75.7093
2011-06-01,75.838
2011-07-01,76.1646
2011-08-01,76.5299
2011-09-01,76.3618
2011-10-01,76.7285
2011-11-01,76.6337
2011-12-01,76.8793
2012-01-01,77.1975
2012-02-01,77.275
2012-03-01,76.752
2012-04-01,77.2004
2012-05-01,77.1817
2012-06-01,77.0371
2012-07-01,77.0784
2012-08-01,76.6371
2012-09-01,76.4671
2012-10-01,76.5822
2012-11-01,76.813
2012-12-01,76.8745
2013-01-01,76.7262
2013-02-01,76.9934
2013-03-01,77.2149
2013-04-01,77.0686
2013-05-01,77.0434
2013-06-01,77.0665
2013-07-01,76.7706
2013-08-01,77.1515
2013-09-01,77.5183
2013-10-01,77.3471
2013-11-01,77.4869
2013-12-01,77.573
2014-01-01,77.2587
2014-02-01,77.7792
2014-03-01,78.4763
2014-04-01,78.451
2014-05-01,78.6857
2014-06-01,78.8696
2014-07-01,78.9991
2014-08-01,78.761
2014-09-01,78.9374
2014-10-01,78.8636
2014-11-01,79.309
2014-12-01,79.2034
2015-01-01,78.5594
2015-02-01,78.0444
2015-03-01,77.7558
2015-04-01,77.2637
2015-05-01,76.9059
2015-06-01,76.6418
2015-07-01,77.1568
2015-08-01,76.9536
2015-09-01,76.6991
2015-10-01,76.3951
2015-11-01,75.8304
2015-12-01,75.3941
2016-01-01,75.8877
2016-02-01,75.4857
2016-03-01,74.8947
2016-04-01,75.0886
2016-05-01,74.9356
2016-06-01,75.2442
2016-07-01,75.3583
2016-08-01,75.2029
2016-09-01,75.093
2016-10-01,75.1285
2016-11-01,74.7874
2016-12-01,75.3
2017-01-01,75.2006
2017-02-01,74.9418
2017-03-01,75.5451
2017-04-01,76.3052
2017-05-01,76.451
2017-06-01,76.6411
2017-07-01,76.6453
2017-08-01,76.3405
2017-09-01,76.4526
2017-10-01,77.4782
2017-11-01,77.7644
2017-12-01,77.8953
2018-01-01,77.9294
2018-02-01,78.1811
2018-03-01,78.6889
2018-04-01,79.5363
2018-05-01,78.8409
2018-06-01,79.3804
2018-07-01,79.4994
2018-08-01,79.889
2018-09-01,79.7637
2018-10-01,79.544
2018-11-01,79.3702
2018-12-01,79.2144
2019-01-01,78.6612
2019-02-01,78.1055
2019-03-01,78.0936
2019-04-01,77.5208
2019-05-01,77.5675
2019-06-01,77.4223
2019-07-01,77.0927
2019-08-01,77.4983
2019-09-01,77.1588
2019-10-01,76.4731
2019-11-01,76.8343
2019-12-01,76.5336
2020-01-01,76.1241
