Date,value
2010-01-01,67.319281
2010-02-01,50.773725
2010-03-01,68.929406
2010-04-01,63.819443
2010-05-01,87.244431
2010-06-01,65.705787
2010-07-01,17.639241
2010-08-01,41.816527
2010-09-01,52.972397
2010-10-01,51.826226
2010-11-01,36.869638
2010-12-01,23.284044
2011-01-01,-14.011692
2011-02-01,-31.252853
2011-03-01,-8.1640322
2011-04-01,-19.05826
2011-05-01,-18.516195
2011-06-01,-12.548966
2011-07-01,-17.487916
2011-08-01,-16.083443
2011-09-01,12.15001
2011-10-01,24.120514
2011-11-01,11.945434
2011-12-01,13.892746
2012-01-01,-44.885251
2012-02-01,-84.093096
2012-03-01,-64.049865
2012-04-01,-46.817785
2012-05-01,-38.833704
2012-06-01,-54.697717
2012-07-01,-42.610223
2012-08-01,-75.855191
2012-09-01,-83.498241
2012-10-01,-53.813289
2012-11-01,-46.175826
2012-12-01,-64.020255
2013-01-01,-74.530655
2013-02-01,-78.293988
2013-03-01,-61.633842
2013-04-01,-61.502568
2013-05-01,-64.0038
2013-06-01,-54.124117
2013-07-01,-36.411082
2013-08-01,-39.656396
2013-09-01,3.935846
2013-10-01,15.429888
2013-11-01,-3.492712
2013-12-01,29.853572
2014-01-01,-9.3797214
2014-02-01,-34.927817
2014-03-01,-8.575497
2014-04-01,-43.648063
2014-05-01,-48.96979
2014-06-01,-57.339428
2014-07-01,-70.901382
2014-08-01,-54.349419
2014-09-01,-36.121727
2014-10-01,-37.897832
2014-11-01,-18.485663
2014-12-01,-56.167712
2015-01-01,-78.024679
2015-02-01,-107.71327
2015-03-01,-101.26293
2015-04-01,-98.566946
2015-05-01,-97.783028
2015-06-01,-82.117329
2015-07-01,-48.805752
2015-08-01,-39.797866
2015-09-01,-57.561321
2015-10-01,-68.889581
2015-11-01,-99.741103
2015-12-01,-110.9367
2016-01-01,-140.28967
2016-02-01,-163.00204
2016-03-01,-140.91604
2016-04-01,-95.095328
2016-05-01,-93.144695
2016-06-01,-95.220422
2016-07-01,-79.839186
2016-08-01,-84.864336
2016-09-01,-64.25123
2016-10-01,-59.522827
2016-11-01,-38.441254
2016-12-01,-40.632599
2017-01-01,-55.453569
2017-02-01,-73.22101
2017-03-01,-32.27116
2017-04-01,-25.421805
2017-05-01,-47.939818
2017-06-01,-60.176142
2017-07-01,-54.857134
2017-08-01,-31.954464
2017-09-01,-14.552529
2017-10-01,-5.9855704
2017-11-01,-8.1567409
2017-12-01,2.5341405
2018-01-01,-24.170689
2018-02-01,-34.217418
2018-03-01,-31.53141
2018-04-01,-33.785478
2018-05-01,-20.312685
2018-06-01,-15.823541
2018-07-01,4.1761327
2018-08-01,7.7408256
2018-09-01,-8.9914717
2018-10-01,-2.5227648
2018-11-01,-28.21855
2018-12-01,-16.684471
2019-01-01,-39.273768
2019-02-01,-91.846487
2019-03-01,-84.336644
2019-04-01,-71.705181
2019-05-01,-42.322069
2019-06-01,-29.668965
2019-07-01,16.834598
2019-08-01,22.704675
2019-09-01,35.608629
2019-10-01,14.392725
2019-11-01,-10.850108
2019-12-01,-13.586407
2020-01-01,-81.391796
