Date,M2SL
1/1/2010,8458.1
2/1/2010,8507.4
3/1/2010,8504.5
4/1/2010,8535.2
5/1/2010,8589.9
6/1/2010,8609
7/1/2010,8618.8
8/1/2010,8669.1
9/1/2010,8700.1
10/1/2010,8749.4
11/1/2010,8770
12/1/2010,8801.8
1/1/2011,8823.1
2/1/2011,8886.9
3/1/2011,8943.5
4/1/2011,9004.9
5/1/2011,9075.5
6/1/2011,9151
7/1/2011,9316.6
8/1/2011,9507.6
9/1/2011,9528.3
10/1/2011,9562.1
11/1/2011,9612.6
12/1/2011,9660.1
1/1/2012,9733.3
2/1/2012,9785.7
3/1/2012,9830.6
4/1/2012,9884.6
5/1/2012,9928.4
6/1/2012,9999.3
7/1/2012,10051.8
8/1/2012,10121.3
9/1/2012,10200.8
10/1/2012,10267.3
11/1/2012,10337.6
12/1/2012,10459.7
1/1/2013,10479.5
2/1/2013,10482
3/1/2013,10550
4/1/2013,10585.9
5/1/2013,10628.2
6/1/2013,10684.9
7/1/2013,10730.8
8/1/2013,10790.2
9/1/2013,10841.3
10/1/2013,10956.7
11/1/2013,10969
12/1/2013,11028.8
1/1/2014,11078.9
2/1/2014,11161
3/1/2014,11200.2
4/1/2014,11256.9
5/1/2014,11326.3
6/1/2014,11380.7
7/1/2014,11439.9
8/1/2014,11469.4
9/1/2014,11502.8
10/1/2014,11563.4
11/1/2014,11604.7
12/1/2014,11681.5
1/1/2015,11745.2
2/1/2015,11863.9
3/1/2015,11879.6
4/1/2015,11927.4
5/1/2015,11960.3
6/1/2015,12005.8
7/1/2015,12058.4
8/1/2015,12109.5
9/1/2015,12164.5
10/1/2015,12196.8
11/1/2015,12286
12/1/2015,12344
1/1/2016,12470
2/1/2016,12545.6
3/1/2016,12609.7
4/1/2016,12698.4
5/1/2016,12765.6
6/1/2016,12831.9
7/1/2016,12892
8/1/2016,12978.2
9/1/2016,13037.9
10/1/2016,13105.4
11/1/2016,13176.5
12/1/2016,13209.6
1/1/2017,13282.7
2/1/2017,13351.4
3/1/2017,13420.6
4/1/2017,13482.9
5/1/2017,13534.8
6/1/2017,13558.9
7/1/2017,13621
8/1/2017,13679.6
9/1/2017,13722.1
10/1/2017,13777.4
11/1/2017,13804.1
12/1/2017,13852.3
1/1/2018,13868.2
2/1/2018,13910.2
3/1/2018,13965.5
4/1/2018,13987.7
5/1/2018,14041.2
6/1/2018,14102.6
7/1/2018,14137
8/1/2018,14187.4
9/1/2018,14214.6
10/1/2018,14228.5
11/1/2018,14241.6
12/1/2018,14358.8
1/1/2019,14430.8
2/1/2019,14472.3
3/1/2019,14510.7
4/1/2019,14541
5/1/2019,14632.5
6/1/2019,14754.8
7/1/2019,14833.8
8/1/2019,14919.8
9/1/2019,15004.8
10/1/2019,15144.2
11/1/2019,15249.9
12/1/2019,15319.1
1/1/2020,15401.8
