Date,value
2010-01-01,167529
2010-02-01,155496
2010-03-01,170976
2010-04-01,161769
2010-05-01,167427
2010-06-01,161385
2010-07-01,164234
2010-08-01,168867
2010-09-01,168473
2010-10-01,174547
2010-11-01,167272
2010-12-01,173831
2011-01-01,170393
2011-02-01,151354
2011-03-01,174158
2011-04-01,166858
2011-05-01,174363
2011-06-01,167673
2011-07-01,168635
2011-08-01,175618
2011-09-01,168411
2011-10-01,182977
2011-11-01,181157
2011-12-01,189487
2012-01-01,191439
2012-02-01,181759
2012-03-01,196116
2012-04-01,189590
2012-05-01,197441
2012-06-01,188255
2012-07-01,199361
2012-08-01,196854
2012-09-01,197923
2012-10-01,216041
2012-11-01,212424
2012-12-01,220259
2013-01-01,219590
2013-02-01,200376
2013-03-01,223674
2013-04-01,221261
2013-05-01,227152
2013-06-01,218381
2013-07-01,233238
2013-08-01,233609
2013-09-01,235183
2013-10-01,240594
2013-11-01,237602
2013-12-01,245947
2014-01-01,250425
2014-02-01,228401
2014-03-01,257220
2014-04-01,255795
2014-05-01,267996
2014-06-01,262288
2014-07-01,274131
2014-08-01,276813
2014-09-01,272571
2014-10-01,287193
2014-11-01,279793
2014-12-01,296480
2015-01-01,290856
2015-02-01,266115
2015-03-01,297040
2015-04-01,289735
2015-05-01,293683
2015-06-01,280747
2015-07-01,292813
2015-08-01,291691
2015-09-01,284398
2015-10-01,291410
2015-11-01,279975
2015-12-01,287528
2016-01-01,285245
2016-02-01,262841
2016-03-01,281716
2016-04-01,266122
2016-05-01,273781
2016-06-01,260163
2016-07-01,268470
2016-08-01,269331
2016-09-01,256249
2016-10-01,272860
2016-11-01,267035
2016-12-01,273244
2017-01-01,275058
2017-02-01,255059
2017-03-01,284208
2017-04-01,273090
2017-05-01,284718
2017-06-01,273309
2017-07-01,286635
2017-08-01,286596
2017-09-01,285487
2017-10-01,299429
2017-11-01,302310
2017-12-01,309359
2018-01-01,309881
2018-02-01,287727
2018-03-01,324296
2018-04-01,314803
2018-05-01,323159
2018-06-01,318837
2018-07-01,337540
2018-08-01,352575
2018-09-01,342660
2018-10-01,356138
2018-11-01,356028
2018-12-01,369644
2019-01-01,367286
2019-02-01,326272
2019-03-01,368867
2019-04-01,363737
2019-05-01,376362
2019-06-01,365366
2019-07-01,368765
2019-08-01,386725
2019-09-01,377169
2019-10-01,395900
2019-11-01,388984
2019-12-01,400219
2020-01-01,396329
