Date,Vol.,MA(5),MA(10),MA(12),MA(20),MA(26),EMA(5),EMA(12),EMA(26),ROC(12),RSI(14),MACD,%K(14),%D(3),ATR(14),ADX(14),OBV,Aroon(25),%R(14),CCI(14)
1/4/2010,263540,,,,,,,,,,,,,,,,263540,,,
1/5/2010,258890,,,,,,,,,,,,,,,,522430,,,
1/6/2010,370060,,,,,,,,,,,,,,,,892490,,,
1/7/2010,246630,,,,,,,,,,,,,,,,645860,,,
1/8/2010,310380,82.374,,,,,82.374,,,,,,,,,,956240,,,
1/11/2010,296300,82.576,,,,,82.42266667,,,,,,,,,,659940,,,
1/12/2010,333870,82.38,,,,,81.87844444,,,,,,,,,,326070,,,
1/13/2010,401630,81.674,,,,,81.13562963,,,,,,,,,,-75560,,,
1/14/2010,275400,81.02,,,,,80.55375309,,,,,,,,,,-350960,,,
1/15/2010,200560,80.07,81.222,,,,79.70250206,,,,,,,,,,-551520,,,
1/19/2010,186880,79.37,80.973,,,,79.47500137,,,,,,,,,,-364640,,,
1/20/2010,40680,78.736,80.558,80.73833333,,,78.85666758,80.73833333,,,,,,,,,-405320,,,
1/21/2010,327420,78.022,79.848,80.28583333,,,77.93111172,80.25858974,,-6.661759293,,,,,,,-732740,,,
1/22/2010,348820,77.052,79.036,79.68333333,,,76.80074115,79.61572978,,-8.841873548,,,5.331991952,,,,-1081560,,-94.66800805,
1/25/2010,280560,76.504,78.287,79.02333333,,,76.28716076,78.83484828,,-9.521519596,26.41509434,,12.57545272,,1.975,,-801000,,-87.42454728,
1/26/2010,256210,75.642,77.506,78.36083333,,,75.76144051,78.28487162,,-9.617711106,23.92909897,,8.785784798,8.897743155,1.946071429,,-1057210,,-91.2142152,
1/27/2010,356180,74.852,76.794,77.60416667,,,75.06429367,77.73489137,,-10.97280967,13.8952164,,9.026548673,10.12926206,1.981352041,,-1413390,,-90.97345133,
1/28/2010,292910,74.364,76.193,76.86416667,,,74.58952912,77.10952347,,-10.76102763,14.43217666,,8.761061947,8.857798472,1.951255466,,-1706300,,-91.23893805,
1/29/2010,335270,74.034,75.543,76.20583333,,,74.02301941,76.57575063,,-9.778437925,13.04347826,,3.993055556,7.260222058,1.982594362,,-2041570,,-96.00694444,
2/1/2010,277410,73.868,75.186,75.77083333,78.204,,74.15867961,76.00871207,,-6.553672316,22.3890785,,20.18163471,10.97858407,2.019551907,,-1764160,,-79.81836529,-94.54577939
2/2/2010,366270,74.372,75.007,75.59083333,77.99,,75.18245307,75.76583329,,-2.720745686,38.67684478,,58.25242718,27.47570582,2.0902982,,-1397890,,-41.74757282,-36.86399032
2/3/2010,391290,75.034,74.943,75.50583333,77.7505,,75.78163538,75.99108971,,-1.307692308,40.99797707,,57.37704918,45.27037036,2.049562614,,-1789180,,-42.62295082,-13.68236513
2/4/2010,523890,74.934,74.649,75.01583333,77.2485,,74.90109025,76.14322975,,-7.441154138,33.0255296,,10.44992743,42.02646793,2.242450999,,-2313070,,-89.55007257,-76.86831562
2/5/2010,596140,74.594,74.314,74.48,76.675,,73.66406017,75.6811944,,-8.283947436,32.05060622,,17.51295337,28.44664333,2.399418784,,-2909210,,-82.48704663,-132.6222312
2/8/2010,345640,74.086,73.977,74.13083333,76.132,,73.07270678,74.99024142,,-5.507360673,30.8847185,,25.07869885,17.68052655,2.343746014,,-2563570,-72,-74.92130115,-119.2756856
2/9/2010,429850,73.39,73.881,74.065,75.6935,77.24076923,73.29847119,74.5132812,77.24076923,-1.059833646,39.8744113,-2.72748803,47.96839729,30.18668317,2.378478442,,-2133720,-72,-52.03160271,-76.66099215
2/10/2010,422060,72.898,73.966,74.00333333,75.38,76.97192308,73.70564746,74.39585332,76.98219373,-0.983258039,45.74700109,-2.586340408,58.78220141,43.94309918,2.377872839,,-1711660,-72,-41.21779859,-43.82324873
2/11/2010,464440,73.326,74.13,74.05083333,75.1615,76.72230769,74.23043164,74.41495281,76.79980901,0.762950074,52.1070615,-2.384856199,67.68149883,58.14403251,2.373024779,51.12349228,-1247220,-72,-32.31850117,-13.53328456
