Date,%
1-Jan-10,79.9
8-Jan-10,81.3
15-Jan-10,78.4
22-Jan-10,78.5
29-Jan-10,77.7
5-Feb-10,79.1
12-Feb-10,79.8
19-Feb-10,81.2
26-Feb-10,81.9
5-Mar-10,80.7
12-Mar-10,80.6
19-Mar-10,81.1
26-Mar-10,82.6
2-Apr-10,84.5
9-Apr-10,85.6
16-Apr-10,85.9
23-Apr-10,89
30-Apr-10,89.6
7-May-10,88.4
14-May-10,87.9
21-May-10,87.8
28-May-10,87.5
4-Jun-10,89.1
11-Jun-10,87.9
18-Jun-10,89.4
25-Jun-10,88.4
2-Jul-10,89.8
9-Jul-10,90.5
16-Jul-10,91.5
23-Jul-10,90.6
30-Jul-10,91.2
6-Aug-10,88.1
13-Aug-10,90
20-Aug-10,87.7
27-Aug-10,87
3-Sep-10,88.2
10-Sep-10,87.6
17-Sep-10,87.8
24-Sep-10,85.8
1-Oct-10,83.1
8-Oct-10,81.9
15-Oct-10,82.5
22-Oct-10,83.7
29-Oct-10,81.8
5-Nov-10,82.4
12-Nov-10,84
19-Nov-10,85.5
26-Nov-10,82.6
3-Dec-10,87.5
10-Dec-10,88
17-Dec-10,87.7
24-Dec-10,87.8
31-Dec-10,88
7-Jan-11,86.4
14-Jan-11,83
21-Jan-11,81.8
28-Jan-11,84.5
4-Feb-11,84.7
11-Feb-11,81.2
18-Feb-11,79.4
25-Feb-11,80.9
4-Mar-11,82
11-Mar-11,83.4
18-Mar-11,84.1
25-Mar-11,84.1
1-Apr-11,84.4
8-Apr-11,81.4
15-Apr-11,82.5
22-Apr-11,82.7
29-Apr-11,82.8
6-May-11,81.7
13-May-11,83.2
20-May-11,86.3
27-May-11,86
3-Jun-11,87.2
10-Jun-11,86.1
17-Jun-11,89.2
24-Jun-11,88.1
1-Jul-11,88.4
8-Jul-11,88
15-Jul-11,90.3
22-Jul-11,88.3
29-Jul-11,89.3
5-Aug-11,90
12-Aug-11,89.1
19-Aug-11,90.3
26-Aug-11,89.2
2-Sep-11,89
9-Sep-11,87
16-Sep-11,88.3
23-Sep-11,87.8
30-Sep-11,87.7
7-Oct-11,84.2
14-Oct-11,83.1
21-Oct-11,84.8
28-Oct-11,85.3
4-Nov-11,82.6
11-Nov-11,84.8
18-Nov-11,85.5
25-Nov-11,84.6
