Date,Price,Gold,Heating Oil,Natural Gas,EFFR,Treasury Bill,USDX,MSCI,CRBI,XOI,TCU,CFNAI,INDPRO,Kilian,World Production,US Field Production,Unemployment,Refinery,Vol.,MA(5),MA(10),MA(12),MA(20),MA(26),EMA(5),EMA(12),EMA(26),ROC(12),RSI(14),MACD,%K(14),%D(3),ATR(14),ADX(14),OBV,Aroon(25),%R(14),CCI(14)
2/11/2010,75.28,1095.35,1.96,5.53,0.12,0.1,80.1,29.2,269.39,1022.18,71.27,-0.06,89.8,57.26,73.61,161024.57,9.84,79.52,464440,73.33,74.13,74.05,75.16,76.72,74.23,74.41,76.8,0.76,52.11,-2.38,67.68,58.14,2.37,51.12,-1247220,-72,-32.32,-13.53
2/12/2010,74.13,1093.4,1.92,5.48,0.12,0.09,80.41,29.17,267.6,1014.02,71.29,-0.03,89.83,57.91,73.63,161577.43,9.84,79.52,335810,73.91,74.25,74.09,74.9,76.37,74.2,74.55,76.69,0.62,46.86,-2.14,54.22,60.23,2.4,49.11,-1583030,-72,-45.78,-35.4
2/16/2010,77.01,1119.95,2,5.65,0.13,0.09,79.76,29.58,274.44,1041.78,71.39,0.08,89.92,60.5,73.7,163788.86,9.85,79.87,365030,74.94,74.51,74.37,74.85,76.16,75.13,74.48,76.5,4.58,55.66,-2.01,87.94,69.95,2.49,47.51,-1218000,-72,-12.06,59.84
2/17/2010,77.33,1115.2,2.01,5.47,0.12,0.09,80.48,29.08,273.51,1036.64,71.41,0.11,89.94,61.15,73.71,164341.72,9.86,80.05,283820,75.65,74.52,74.74,74.76,75.95,75.87,74.87,76.54,6.09,59.34,-1.66,91.69,77.95,2.4,44.82,-934180,-68,-8.31,122.5
2/19/2010,79.81,1118.85,2.07,5.1,0.13,0.1,80.72,29.29,277.47,1043.92,71.46,0.17,89.99,62.45,73.74,165447.43,9.86,80.54,183230,77.47,75.4,75.34,75.02,75.78,77.89,75.84,76.78,3.34,66.24,-0.94,97.26,95.53,2.44,39.35,-476780,-60,-2.74,189.78
2/22/2010,80.16,1113.7,2.08,4.92,0.12,0.09,80.59,29.36,276.45,1034.49,71.53,0.26,90.06,64.39,73.76,167106,9.87,81.23,34940,78.67,76.29,75.61,75.3,75.8,78.65,76.45,77,4.13,64.25,-0.55,96.82,97.25,2.34,37.16,-441840,40,-3.18,177.32
2/23/2010,78.86,1102.05,2.03,4.91,0.12,0.12,80.91,29.46,272.04,1018.11,71.56,0.29,90.09,65.04,73.76,167658.86,9.88,81.43,316880,79.04,76.99,76.08,75.48,75.78,78.72,77.02,77.24,7.82,54.38,-0.22,85.01,93.03,2.33,35.31,-758720,40,-14.99,122.42
2/24/2010,80,1096.4,2.04,4.91,0.11,0.11,80.92,29.96,274.38,1025.05,71.58,0.32,90.11,65.69,73.76,168211.72,9.88,81.62,289320,79.58,77.62,76.82,75.75,75.85,79.15,77.3,77.36,12.38,57.74,-0.05,95.37,92.4,2.32,32.92,-469400,40,-4.63,116.33
2/25/2010,78.17,1106.1,1.99,4.84,0.12,0.12,80.86,29.84,270.55,1017.94,71.61,0.35,90.13,66.34,73.77,168764.57,9.89,81.79,346030,79.4,77.98,77.34,75.97,75.82,78.82,77.72,77.55,8.74,64.38,0.17,78.75,86.38,2.39,30.73,-815430,40,-21.25,76.89
2/26/2010,79.66,1116.5,2.02,4.76,0.13,0.12,80.44,29.98,274.45,1021.07,71.63,0.38,90.16,66.98,73.77,169317.43,9.89,81.95,319040,79.37,78.42,77.83,76.27,75.9,79.1,77.79,77.6,8.01,74.87,0.19,91.27,88.46,2.37,29.01,-496390,40,-8.73,86.49
